Image 0| Score: -0.5694 | Improved by Teacher| Green commercial building with refrigerator and refrigeration units outside.
Image 3043| Score: -0.9338 | Improved by Teacher| a couple of horses standing in front of a car 
Image 3044| Score: -0.1893 | Improved by Teacher| skateboarder does a jump off of the street corner
Image 3045| Score: 1.8938 | Kept from Student| A girl dressed in pink clothing standing next to a cow. 
Image 3046| Score: 1.5896 | Kept from Student| A man in an armor riding a horse in front of spectators.
Image 3047| Score: 1.3381 | Kept from Student| A plane flying high in a very cloudy sky
Image 3048| Score: 1.0246 | Kept from Student| A whole pizza on a red checked table cloth.
Image 3049| Score: 0.7733 | Kept from Student| people with a horse performing on the stage
Image 3050| Score: 1.9397 | Kept from Student| A girl uses her laptop computer at the beach.
Image 3051| Score: 1.6319 | Kept from Student| Clock tower in front of a sunset surrounded by buildings.
Image 3052| Score: 0.3981 | Improved by Teacher| A man is sitting on the back of a truck with other objects.
Image 3053| Score: 1.6581 | Kept from Student| Small bistro sets are on the pavement along with some umbrellas.
Image 3054| Score: -0.1861 | Improved by Teacher| A hallway leading into a white kitchen with appliances.
Image 3055| Score: 0.1611 | Improved by Teacher| two young kids playing baseball in the backyard 
Image 3056| Score: 1.0504 | Kept from Student| Camera in hand he is getting directions to the event.
Image 3057| Score: 1.3247 | Kept from Student| A person that is holding kite in a hand.
Image 3058| Score: -0.8122 | Improved by Teacher| there is a clock that is at the top of this building
Image 3059| Score: 0.8265 | Kept from Student| a couple of people that are walking in some grass
Image 3060| Score: -0.3880 | Improved by Teacher| Luggage all packed up in a room, as if for a move.
Image 3061| Score: 0.9174 | Kept from Student| An array of apples and bananas lay on a plate
Image 3062| Score: 1.5023 | Kept from Student| A woman cooking food at a skillet on a stove.
Image 3063| Score: 0.8251 | Kept from Student| there is a man standing by a window alone
Image 3064| Score: -0.3074 | Improved by Teacher| A large gray elephant standing next to other elephants.
Image 3065| Score: 1.2827 | Kept from Student| a cat looking out from an open doorway 
Image 3066| Score: -0.2547 | Improved by Teacher| a large cat resting on a cardboard box next to a mirror on the wall
Image 3067| Score: 0.6596 | Kept from Student| A collage shows a car, a gas station sign, and motor scooters.
Image 3068| Score: -0.2335 | Improved by Teacher| an image of a man on skiis jumping in the air
Image 3069| Score: 0.5884 | Improved by Teacher| A zebra standing next to an elephant next to some trees.
Image 3070| Score: -1.0044 | Improved by Teacher| A traffic light next to a very tall pointy building.
Image 3071| Score: 1.5169 | Kept from Student| a purple and yellow train that is near other tracks
Image 3072| Score: -0.2592 | Improved by Teacher| A man slicing a cake with a long knife.
Image 3073| Score: -0.1306 | Improved by Teacher| Street sign on pole outside of building with windows.
Image 3074| Score: 1.1945 | Kept from Student| Three boys in street with baseball gear next to a building.
Image 3075| Score: -0.5093 | Improved by Teacher| A skateboarder performs a trick in a skate park. 
Image 3076| Score: 1.8894 | Kept from Student| a little boy eating a chocolate doughnut with sprinkles 
Image 3077| Score: 0.8403 | Kept from Student| A long train traveling along train tracks in a train yard.
Image 3078| Score: 0.8709 | Kept from Student| A large cooked pizza on a metal pan.
Image 3079| Score: 1.3581 | Kept from Student| A man standing on a tennis court while holding a racquet.
Image 3080| Score: 0.6029 | Improved by Teacher| A school bus covered in art and a sign.
Image 3081| Score: 1.5237 | Kept from Student| A red truck driving down a rural country dirt road.
Image 3082| Score: 0.4213 | Improved by Teacher| Two skiers trekking through the snow on an overcast day
Image 3083| Score: -0.2842 | Improved by Teacher| A stop sign has been spray painted by a vandal
Image 3084| Score: -0.5827 | Improved by Teacher| A man sitting in a chair looking at a cell phone.
Image 3085| Score: 0.4895 | Improved by Teacher| A brown and black cow in a field with a barn in the background.
Image 3086| Score: -0.0695 | Improved by Teacher| there is a snowboarder that is going down a snow hill
Image 3087| Score: -0.2741 | Improved by Teacher| Horses standing and laying down in the grass on a hill above a lake.
Image 3088| Score: 0.8048 | Kept from Student| An old military jeep sits with its hood up.
Image 3089| Score: 1.6398 | Kept from Student| A person on a horse by some trees.
Image 3090| Score: -0.4800 | Improved by Teacher| Two giraffes tower over the deer in the jungle like setting.
Image 3091| Score: 0.3052 | Improved by Teacher| A boat is parked in a body of water
Image 3092| Score: 1.7929 | Kept from Student| A table topped with lots of flowers in gold vases.
Image 3093| Score: 1.2538 | Kept from Student| A bag is shown with random small objects lined up.
Image 3094| Score: 0.5813 | Improved by Teacher| A man touching an iron board in a room filled with other items. 
Image 3095| Score: 1.0905 | Kept from Student| A young zebra walking around their pen in the zoo.
Image 3096| Score: 0.4986 | Improved by Teacher| A white horse looking out of a window at a building. 
Image 3097| Score: 0.4914 | Improved by Teacher| A child wears skis in a snowy backyard.
Image 3098| Score: -0.1779 | Improved by Teacher| a bunch of ripe bananas sitting on a table.
Image 3099| Score: 0.5298 | Improved by Teacher| A single giraffe that is eating some leaves off of a tree.
Image 3100| Score: 1.3662 | Kept from Student| There is a wood bench at the edge of a forest path.
Image 3101| Score: 1.6345 | Kept from Student| An older woman holding a metal tea kettle in a kitchen.
Image 3102| Score: 1.6398 | Kept from Student| A woman holding an umbrella, facing a row of shops that are closed for the night.
Image 3103| Score: 1.6008 | Kept from Student| an orange and white cat and some bushes and trees
Image 3104| Score: 0.3731 | Improved by Teacher| A head and neck of one giraffe and only the neck of another.
Image 3105| Score: 0.8526 | Kept from Student| The man is playing tennis on the tennis court. 
Image 3106| Score: -0.2440 | Improved by Teacher| A large store filled with lots of groceries and produce.
Image 3107| Score: -1.2868 | Improved by Teacher| there is a lighter and a phone on a desk
Image 3108| Score: 1.0592 | Kept from Student| Two men in suits and ties posing for a photo.
Image 3109| Score: 0.0948 | Improved by Teacher| In less than a mile, there is a walking trail.
Image 3110| Score: 1.5798 | Kept from Student| A man and a woman eating pizza off paper plates.
Image 3111| Score: 0.2318 | Improved by Teacher| a man on a skateboard performs a trick using a railing
Image 3112| Score: 0.4739 | Improved by Teacher| This lad swung his foot at the ball but missed
Image 3113| Score: 0.9999 | Kept from Student|  This is a tall giraffe standing outside among the trees.
Image 3114| Score: 1.2702 | Kept from Student| A man and a woman standing with some skis for a photo. 
Image 3115| Score: 0.8759 | Kept from Student| A sandwich with scrambles eggs on a white plate.
Image 3116| Score: 1.0517 | Kept from Student| A bird in a flower pot eating an apple
Image 3117| Score: 0.1361 | Improved by Teacher| A empty living room with hard wood flooring.
Image 3118| Score: 0.3149 | Improved by Teacher| you can see many buildings and cars along these city streets
Image 3119| Score: 0.5769 | Improved by Teacher| The traffic lights are clearly visible for all of us to see. 
Image 3120| Score: 0.5011 | Improved by Teacher| The chrome colored stove is in the kitchen.
Image 3121| Score: 1.5308 | Kept from Student| Two children fly a kite on a hill above a city.
Image 3122| Score: -0.2453 | Improved by Teacher| a plate of food near a cup of coffee on a table
Image 3123| Score: 0.0066 | Improved by Teacher| A large elephant standing next to a small elephant playing in the water.
Image 3124| Score: 0.9481 | Kept from Student| A group of people are holding other people on a soccer field.
Image 3125| Score: 0.4206 | Improved by Teacher| there are three different plates with decorations on it
Image 3126| Score: 1.1033 | Kept from Student| An elderly woman sitting on the bench resting.  
Image 3127| Score: 0.5750 | Improved by Teacher| there is a woman posing with a crust of a pizza
Image 3128| Score: 0.5823 | Improved by Teacher| An old fashion red truck has its hood up near a dog and lady. 
Image 3129| Score: 1.6500 | Kept from Student| Small girl reaching for her umbrella on a driveway.
Image 3130| Score: 0.9489 | Kept from Student| A black and white photo of two birds walking in a grassy field.
Image 3131| Score: 1.6595 | Kept from Student| there is a starbucks drink and a sandwich on a table
Image 3132| Score: 1.8591 | Kept from Student| A bike sitting near the water that has boats in it.
Image 3133| Score: 0.5599 | Improved by Teacher| a wooden dinette table and two chairs with place settings
Image 3134| Score: 0.0675 | Improved by Teacher| A person that is holding a bottle of beer.
Image 3135| Score: -0.9627 | Improved by Teacher| A dog rests on a pillow on the ledge of a window.
Image 3136| Score: 0.2845 | Improved by Teacher| some boats can be seen out on the water
Image 3137| Score: 0.2922 | Improved by Teacher| Two zebras are standing next to each other in an enclosure.  
Image 3138| Score: 0.1518 | Improved by Teacher| A city plaza is lit up with colorful bright signs.
Image 3139| Score: 0.6566 | Kept from Student| A salad of tomato, squash and herbs is being eaten with a fork.
Image 3140| Score: -1.3724 | Improved by Teacher| a bunch of people walk down a side walk as traffic passes by 
Image 3141| Score: 0.1508 | Improved by Teacher| A trail car going down a street lined with buildings
Image 3142| Score: 0.2045 | Improved by Teacher| A young girl is playing a game of tennis.
Image 3143| Score: 0.6781 | Kept from Student| Mountains can be seen through the window of a plane. 
Image 3144| Score: 0.9569 | Kept from Student| A person going down a steep snow hill.
Image 3145| Score: 0.8965 | Kept from Student| a man holding up his tennis racket before the ball gets to him 
Image 3146| Score: -0.9837 | Improved by Teacher| A LONG ROAD ON A STREET AND MOTORIST STOPPING AT A STOP SIGN
Image 3147| Score: 1.3559 | Kept from Student| A man standing on a tennis court holding a racquet.
Image 3148| Score: 0.0840 | Improved by Teacher| A unique looking meal is placed on the plate with silverware. 
Image 3149| Score: -0.1138 | Improved by Teacher| A refrigerator that is covered in magnets from top to bottom.
Image 3150| Score: -1.2413 | Improved by Teacher| A giraffes peaking over a rock with trees in the background.
Image 3151| Score: 0.0839 | Improved by Teacher| Little boy standing in front of a table holding remotes for video game.
Image 3152| Score: 0.9377 | Kept from Student| Couples walking down a wide, sandy beach, while the tide is out.
Image 3153| Score: -0.3735 | Improved by Teacher| some people on a beach stare out into the ocean
Image 3154| Score: 1.1443 | Kept from Student| A statue of an elephant standing on top of a stand.
Image 3155| Score: -0.3950 | Improved by Teacher| a shot from the bathroom door of a toilet 
Image 3156| Score: -1.0662 | Improved by Teacher| A group of people in a body of water with some elephants.
Image 3157| Score: -0.1900 | Improved by Teacher| The train is on the tracks by the road.
Image 3158| Score: 0.7998 | Kept from Student| In the city there are two animal statues.
Image 3159| Score: 1.3594 | Kept from Student| a blue sign in the sidewalk of a walking trail
Image 3160| Score: -0.3601 | Improved by Teacher| A young man riding a skateboard down a metal hand rail.
Image 3161| Score: 0.5142 | Improved by Teacher| A nice clean bathroom with a marble counter sink.
Image 3162| Score: -1.0323 | Improved by Teacher| A man smiling as he stands on the top of a mountain wearing skis.
Image 3163| Score: 1.1549 | Kept from Student| A small personal pizza sits on a small white plate.
Image 3164| Score: 0.4472 | Improved by Teacher| An adult and a juvenile zebra in a wooded area.
Image 3165| Score: 0.9423 | Kept from Student| An older red cell phone is flipped open.
Image 3166| Score: 0.9582 | Kept from Student| People are riding in a motorboat on the water.
Image 3167| Score: 1.7155 | Kept from Student| A black dog sitting on a rug on the floor with a doughnut.
Image 3168| Score: -0.6816 | Improved by Teacher| Baseball player waits in the batter's box for the pitch.
Image 3169| Score: 1.8852 | Kept from Student| Man sitting on top of water with a large green umbrella.
Image 3170| Score: -1.0915 | Improved by Teacher| Two elephants are standing in a pen by a fence.
Image 3171| Score: 1.7120 | Kept from Student| Three girls walking down the sidewalk under a sun umbrella.
Image 3172| Score: -0.7256 | Improved by Teacher| A person on a skateboard does an air trick.
Image 3173| Score: 0.2036 | Improved by Teacher| A golden retriever is sitting in the bed of a red truck.
Image 3174| Score: 0.6143 | Improved by Teacher| A busy city street filled with lots of traffic.
Image 3175| Score: 1.4625 | Kept from Student| A boy in a ball cap eats a hot dog at a ball park.
Image 3176| Score: -0.4215 | Improved by Teacher| A group of people are standing and sitting on ski boards in the middle of the snow. 
Image 3177| Score: 1.6257 | Kept from Student| The man is setting at the table with a plate of seafood.
Image 3178| Score: 0.9475 | Kept from Student| The interior of a large public building is show with several escalators in view.
Image 3179| Score: 1.0971 | Kept from Student| A big building perched atop a hill with a sign in the foreground.
Image 3180| Score: -1.2660 | Improved by Teacher| A bedroom scene with focus on the window with the bed in the reflection.
Image 3181| Score: -0.5689 | Improved by Teacher| a black and white counter a sink mirror and a light
Image 3182| Score: 0.4811 | Improved by Teacher| There's an apple monitor turned on with a iphone resting against it.
Image 3183| Score: 1.8937 | Kept from Student| A man in grey baseball uniform throwing a ball.
Image 3184| Score: 1.2323 | Kept from Student| The bird is standing in the sand alone.
Image 3185| Score: 1.1555 | Kept from Student| A man sitting in an arena, eating something from the concession stand.
Image 3186| Score: 1.3400 | Kept from Student| three boats moving up a stream of water.
Image 3187| Score: -2.2549 | Improved by Teacher| A girl sleeping on a couch resting her head on the couch armrest.
Image 3188| Score: 1.5666 | Kept from Student| two cat getting ready to get into a fight
Image 3189| Score: 0.3532 | Improved by Teacher| A woman stands in a living room playing an interactive video game.
Image 3190| Score: 0.9963 | Kept from Student| Two boys are chasing after a soccer ball. 
Image 3191| Score: 0.5418 | Improved by Teacher| A kitchen that is painted bright green and blue.
Image 3192| Score: -0.2109 | Improved by Teacher| A full view of a kitchen with stove and counters. 
Image 3193| Score: 0.0154 | Improved by Teacher| A man is playing frisbee amidst the trees.
Image 3194| Score: -1.2058 | Improved by Teacher| A butter knife and a fork next to a glazed doughnut.
Image 3195| Score: 0.6139 | Improved by Teacher| A pizza sitting on a table near a glass and a candle.
Image 3196| Score: -0.3591 | Improved by Teacher| A group of giraffes eating in an area of think foliage.
Image 3197| Score: 0.4121 | Improved by Teacher| A white plate topped with  different types of chinese food.
Image 3198| Score: 0.2493 | Improved by Teacher| The family of elephants are traveling through the field.
Image 3199| Score: 0.3020 | Improved by Teacher| A dog holds a Frisbee outside on the grass. 
Image 3200| Score: 0.9542 | Kept from Student| A large model train set with mountains and buildings.
Image 3201| Score: 0.8437 | Kept from Student| a lazy cat lies on a gray couch
Image 3202| Score: -0.9796 | Improved by Teacher| A man sleeps on a bed with headphones in his ears.
Image 3203| Score: -0.2319 | Improved by Teacher| An unfinished kitchen that has a refrigerator and cabinets.
Image 3204| Score: -0.3272 | Improved by Teacher| some colorful flowers sitting on vase on the wall 
Image 3205| Score: 0.5938 | Improved by Teacher| An old time buggy being pulled down the street by a horse.
Image 3206| Score: 1.6387 | Kept from Student| A lovely, pink flower bouquet in a clear glass vase.
Image 3207| Score: 1.2792 | Kept from Student| Night time tennis match on blue and green court.
Image 3208| Score: 0.8989 | Kept from Student| A train makes its way down a train track.
Image 3209| Score: 1.1252 | Kept from Student| A woman sitting at a sewing machine cutting fabric.
Image 3210| Score: 1.3779 | Kept from Student| A man standing next to a skateboard on a sidewalk.
Image 3211| Score: 1.4264 | Kept from Student| A hybrid electric commuter bus in a concrete city
Image 3212| Score: 0.2199 | Improved by Teacher| A man wearing glasses making funny facial expressions.
Image 3213| Score: 0.7169 | Kept from Student| a blond wearing a black top and sitting in a white chair
Image 3214| Score: -0.1165 | Improved by Teacher| A large black dog laying on a kitchen floor.
Image 3215| Score: -0.3973 | Improved by Teacher| a person sitting on a bed in a room with two beds
Image 3216| Score: 1.1332 | Kept from Student| A man on a skateboard moving down a city street.
Image 3217| Score: -0.0659 | Improved by Teacher| Oncoming traffic shining their lights at a traffic stop. 
Image 3218| Score: -0.6923 | Improved by Teacher| A bottle of wine sitting on a desk calendar
Image 3219| Score: 0.6397 | Kept from Student| A black cat with white paw laying in a hanging cat bed.
Image 3220| Score: 1.5210 | Kept from Student| An old man fist bumps a young woman.
Image 3221| Score: 0.9420 | Kept from Student| A plated sandwich and fried potatoes on a table.
Image 3222| Score: -0.6485 | Improved by Teacher| A traffic light with a "No Turn On Red" sign under. 
Image 3223| Score: 0.9596 | Kept from Student| A traffic light that is on a street.
Image 3224| Score: 1.8872 | Kept from Student| A tennis player in a red dress taking a swing.
Image 3225| Score: -1.2095 | Improved by Teacher| a silver and red fire hydrant a red building and a window
Image 3226| Score: -0.8484 | Improved by Teacher| Two elephants in a field with a zebra in the background. 
Image 3227| Score: 1.8775 | Kept from Student| A ceiling with lots of colorful umbrellas hanging from it.
Image 3228| Score: 1.5227 | Kept from Student| A bridge over water with buildings and clock tower in the background.
Image 3229| Score: 1.6206 | Kept from Student| The motorcycle is parked outside of a restaurant at night.
Image 3230| Score: 0.1620 | Improved by Teacher| A full view of a beach with sand and an ocean. 
Image 3231| Score: 1.5553 | Kept from Student| A zebra stands alone in the grass in an artificial habitat.
Image 3232| Score: 1.4475 | Kept from Student| A tray full of sprinkle covered, chocolate glazed doughnuts.
Image 3233| Score: 1.6098 | Kept from Student| A little girl wearing sunglasses holding a tennis racket.
Image 3234| Score: -1.1987 | Improved by Teacher| An old, large clock hanging off of a building.
Image 3235| Score: 1.8409 | Kept from Student| A man with a blue tie is standing and smiling.
Image 3236| Score: 0.5556 | Improved by Teacher| A couple of boats filled with lots of bananas.
Image 3237| Score: 0.3906 | Improved by Teacher| a tennis player stretching to hit a ball
Image 3238| Score: -0.0578 | Improved by Teacher| A woman stands next to a baby elephant.
Image 3239| Score: -0.8414 | Improved by Teacher| A man on a skateboard performing a trick.
Image 3240| Score: 1.5543 | Kept from Student| A man is sitting on a bench next to a bicycle.
Image 3241| Score: 1.9581 | Kept from Student| A young boy in a blue tshirt rides a skateboard
Image 3242| Score: 0.8385 | Kept from Student| A foreign street sign that's covered in snow.
Image 3243| Score: 0.6638 | Kept from Student| A statue that is in front of a building.
Image 3244| Score: -0.2348 | Improved by Teacher| A person image on a wall with a skateboard.
Image 3245| Score: 0.1203 | Improved by Teacher| Two eyes painted on a fire hydrant make it look more festive.
Image 3246| Score: 1.4000 | Kept from Student| A man holding a tennis racquet on a tennis court.
Image 3247| Score: -0.8912 | Improved by Teacher| Three giraffes on the grass, near a zebra and a deer.
Image 3248| Score: 0.5250 | Improved by Teacher| A passenger train sits by the platform in a station.
Image 3249| Score: 0.6290 | Kept from Student| A large brown dog sleeping on a bed.
Image 3250| Score: 1.0418 | Kept from Student| A yellow fire hydrant at the edge of a sidewalk with the edge of the sidewalk painted red.
Image 3251| Score: 0.8681 | Kept from Student| a bride and groom prepare to cut the wedding cake
Image 3252| Score: 0.3361 | Improved by Teacher| some little kids sitting by the end of the table
Image 3253| Score: -0.1299 | Improved by Teacher| Pizza pie sitting on top of a table in a restaurant. 
Image 3254| Score: 1.0344 | Kept from Student| A BASEBALL GAME IN AN INNER CITY BALL PARK
Image 3255| Score: 1.5152 | Kept from Student| Black and white photograph of people in a rowboat under a bridge 
Image 3256| Score: 0.5247 | Improved by Teacher| Two dogs lay on a bed, butts touching. 
Image 3257| Score: 1.1319 | Kept from Student| a bird sitting on a black fence with  dot spots
Image 3258| Score: -1.3898 | Improved by Teacher| A hotel room with focus on the two beds.
Image 3259| Score: 0.2889 | Improved by Teacher| Three people on a scooter on the street.
Image 3260| Score: -0.7065 | Improved by Teacher| A man surfs as three other surfers look on. 
Image 3261| Score: 1.2645 | Kept from Student| A double decker yellow bus is on a city street.
Image 3262| Score: 1.2768 | Kept from Student| A white bowl filled with pasta and clams.
Image 3263| Score: -0.3028 | Improved by Teacher| A room full of guys and girls sitting a various tables, some have laptops and food. 
Image 3264| Score: 0.8268 | Kept from Student| A red crowned bird perched on a rock. 
Image 3265| Score: 1.2177 | Kept from Student| Two people on a beach flying a kite.
Image 3266| Score: 1.6876 | Kept from Student| A man in balck jacket at wooden table with projection on wall.
Image 3267| Score: -0.6789 | Improved by Teacher| A brown toilet inside of a public restroom.
Image 3268| Score: -1.4910 | Improved by Teacher| Two rubber gloves are on a stove being cleaned.
Image 3269| Score: -0.4004 | Improved by Teacher| The traffic and walk signals are at C and 3 Streets
Image 3270| Score: 0.2179 | Improved by Teacher| A street clock with roman numerals on the clock face and a blue sky above.
Image 3271| Score: 0.1470 | Improved by Teacher| The little boy sits on the ground next to the skateboard.
Image 3272| Score: -0.0254 | Improved by Teacher| A cat in a sink and having his/her head stick out.
Image 3273| Score: 0.7412 | Kept from Student| A man on a skateboard is jumping high above a set of stairs.
Image 3274| Score: -0.1255 | Improved by Teacher| A brown tabby cat is laying next to a keyboard.
Image 3275| Score: 1.6416 | Kept from Student| A male tennis player holding his racket in the air.
Image 3276| Score: 0.9666 | Kept from Student| An airplane museum has many different models to view.
Image 3277| Score: 1.4171 | Kept from Student| A group of people carrying surfboards on top of a beach.
Image 3278| Score: 0.1070 | Improved by Teacher| The toilet is directly beside the bathroom sink. 
Image 3279| Score: 1.0935 | Kept from Student| A bathroom with all white fixtures and a wood floor.
Image 3280| Score: -0.1619 | Improved by Teacher| Two people each sitting on a horse in a show ring
Image 3281| Score: 0.7157 | Kept from Student| A large group of people skiing in the snow.
Image 3282| Score: 1.4546 | Kept from Student| A variety of beers are shown and poured in small cups.
Image 3283| Score: 0.5741 | Improved by Teacher| A stop sign in the woods on the corner of Geyer Springs
Image 3284| Score: 1.2573 | Kept from Student| A man standing on a beach next to the ocean.
Image 3285| Score: 1.1126 | Kept from Student| Three decorated cakes saying "Best Wishes" in a bakery
Image 3286| Score: 0.6757 | Kept from Student| A sunny day on a public beach with many people enjoying different activities.
Image 3287| Score: 0.4300 | Improved by Teacher| A living area with tables, a sofa and multiple windows.
Image 3288| Score: 0.2355 | Improved by Teacher| A woman stands by a deep fryer and a heat lamp in a kitchen. 
Image 3289| Score: -0.9841 | Improved by Teacher| A group of people behind a fence near an elephant.
Image 3290| Score: 1.9089 | Kept from Student| A man sitting by himself on a park bend overlooking a body of water.
Image 3291| Score: -1.2025 | Improved by Teacher| Three remotes sitting on top of a mattress.
Image 3292| Score: 1.1030 | Kept from Student| A single large bird glides with wings extended. 
Image 3293| Score: 0.0831 | Improved by Teacher| A whole pizza with cheese, green peppers and onions.
Image 3294| Score: -0.7445 | Improved by Teacher| An elephant is held captive with heavy chains. 
Image 3295| Score: 1.3488 | Kept from Student| a man sitting at a table with a cheesy pizza on it 
Image 3296| Score: 0.9087 | Kept from Student| Two people holding surfboards walk down a beach.
Image 3297| Score: 1.0166 | Kept from Student| A person is trying to hit a ball with a tennis racket.
Image 3298| Score: -0.3126 | Improved by Teacher| A small bird is perched on an empty bird feeder.
Image 3299| Score: -0.4402 | Improved by Teacher| A man at a restaurant is waiting to serve customers.
Image 3300| Score: 1.3250 | Kept from Student| a man with no shirt on uses a cell phone 
Image 3301| Score: 0.2504 | Improved by Teacher| Some posts and the top of a bench are in high water.
Image 3302| Score: -0.4697 | Improved by Teacher| A dog that is standing by the water with a horse.
Image 3303| Score: 0.4454 | Improved by Teacher| People are feeding a giraffe in an enclosure.
Image 3304| Score: -0.8679 | Improved by Teacher| A banana peal on a piece of board.
Image 3305| Score: 0.1295 | Improved by Teacher| A sign near a Best Buy store that says Stop Pooping.
Image 3306| Score: 0.6725 | Kept from Student| a guy holding a cupcake with 2 lit up candles 
Image 3307| Score: 1.2294 | Kept from Student| A pole with a clock on top in the middle of a park.
Image 3308| Score: 1.8795 | Kept from Student| A white horse standing next to a woman in a field.
Image 3309| Score: -0.6988 | Improved by Teacher| This shirtless young man is wearing a tie.
Image 3310| Score: 0.5049 | Improved by Teacher| A large silver fridge in a tiled kitchen 
Image 3311| Score: -0.0253 | Improved by Teacher| A giraffe standing next to a small stone mountain.
Image 3312| Score: 0.3544 | Improved by Teacher| A girl in a brown jacket staring a whole pizza.
Image 3313| Score: 1.2662 | Kept from Student| A man on a beach trying to launch a kite. 
Image 3314| Score: 0.2134 | Improved by Teacher| a bath room with a bath tub a sink and a toilet
Image 3315| Score: -0.8565 | Improved by Teacher| some birds are standing by a body of water
Image 3316| Score: 0.0547 | Improved by Teacher| A forest with many tall trees all around.
Image 3317| Score: -0.3814 | Improved by Teacher| A large military plane parked in the landing area.
Image 3318| Score: 1.8487 | Kept from Student| A white cow standing in front of a pink building.
Image 3319| Score: 0.7355 | Kept from Student| Two rusty parking meters are displayed with graffiti in the background.
Image 3320| Score: -0.6742 | Improved by Teacher| The tiled bathroom has toilet lid closed with door ajar.
Image 3321| Score: 0.5423 | Improved by Teacher| THERE IS A TOILET IN THE CONER IWTH WALL PAPER
Image 3322| Score: 1.7172 | Kept from Student| Several people walking around near a white van.
Image 3323| Score: 1.5291 | Kept from Student| A group of people ride elephants through a dry grassland.
Image 3324| Score: 1.6608 | Kept from Student| Pink and white flowers planted in an outside area.
Image 3325| Score: 0.2498 | Improved by Teacher| Road signs on an interstate-type highway in somewhere in Asia. 
Image 3326| Score: 0.4634 | Improved by Teacher| A hot dog, cake slice and watermelon slice in a Styrofoam box. 
Image 3327| Score: -0.1875 | Improved by Teacher| A man riding a snowboard on top of a snow covered slope.
Image 3328| Score: -1.2539 | Improved by Teacher| A streussel type dessert with a spoon, and a beverage.
Image 3329| Score: 1.6527 | Kept from Student| A man is walking a dog on the sidewalk.
Image 3330| Score: 0.7446 | Kept from Student| A sign on a red building has words in English and another kind of lettering.
Image 3331| Score: 0.6653 | Kept from Student| A elephant standing in the clearing of a wooded area.
Image 3332| Score: 0.5817 | Improved by Teacher| the elephants are trying to get into the water
Image 3333| Score: 0.5378 | Improved by Teacher| A person riding a skateboard down a road.
Image 3334| Score: 0.2489 | Improved by Teacher| Boy on surfboard on a wave in the ocean. 
Image 3335| Score: -0.1280 | Improved by Teacher| A man cutting a cake on a kitchen table.
Image 3336| Score: 1.4675 | Kept from Student| A man standing next to a little girl on a ski slope.
Image 3337| Score: 1.0369 | Kept from Student| a black cat is laying in a suitcase
Image 3338| Score: -0.2807 | Improved by Teacher| A man balances sideways on a white skateboard.
Image 3339| Score: 0.0313 | Improved by Teacher| A black and white cat sitting on top of cabinets.
Image 3340| Score: 1.3645 | Kept from Student| A person sits on a bench outdoors next to shrubbery typing on a laptop.
Image 3341| Score: 0.9311 | Kept from Student| A man hitting a tennis ball with a racquet on a court.
Image 3342| Score: 1.3684 | Kept from Student| A purple scooter sits on the corner of a street.
Image 3343| Score: 0.7607 | Kept from Student| A man that is standing near a pole.
Image 3344| Score: 1.6643 | Kept from Student| a cat on a wooden floor in front of a tall book shelf
Image 3345| Score: 0.0613 | Improved by Teacher| three members of a baseball team playing a game
Image 3346| Score: -0.2984 | Improved by Teacher| this kitchen is old and dirty and has spoons on the walls
Image 3347| Score: 0.1516 | Improved by Teacher| a young male snowboarding down a snowy hill near evergreen trees
Image 3348| Score: 0.0008 | Improved by Teacher| A bathroom with two sinks and tiled walls.
Image 3349| Score: 0.0071 | Improved by Teacher| Closeup of a person whose legs show a lot of veins.
Image 3350| Score: 0.7780 | Kept from Student| a brown horse is walking in between two cars
Image 3351| Score: 1.4712 | Kept from Student| A baseball player who is holding a baseball bat.
Image 3352| Score: 1.4203 | Kept from Student| A parking lot filled with cars next to a large traffic light.
Image 3353| Score: -0.8356 | Improved by Teacher| A large clock tower is made of bricks.
Image 3354| Score: -1.1349 | Improved by Teacher| The surf board sits on the roof of a hot rod truck.
Image 3355| Score: -1.2016 | Improved by Teacher| A white sink and bathtub sit in a clean, empty bathroom. 
Image 3356| Score: 1.3975 | Kept from Student| there are two men sitting at tables using lap tops
Image 3357| Score: -0.0302 | Improved by Teacher| A man flying through the air while riding a skateboard.
Image 3358| Score: 0.7005 | Kept from Student| A giraffe is standing in the wilderness next to a tree.
Image 3359| Score: 0.6262 | Kept from Student| a small blue and white bathroom with a tub toilet and sink
Image 3360| Score: 0.8133 | Kept from Student| Two giraffe snuggling each other's neck on a field.
Image 3361| Score: 0.4846 | Improved by Teacher| Two opponents are playing during a soccor game.
Image 3362| Score: 1.3186 | Kept from Student| A green truck parked in the middle of a garage.
Image 3363| Score: -0.1540 | Improved by Teacher| They are jumping on those skis in the snow.
Image 3364| Score: 1.2318 | Kept from Student| A large elephant with its face against a bush.
Image 3365| Score: 0.3429 | Improved by Teacher| A lone jet is flying above the clouds.
Image 3366| Score: 0.1044 | Improved by Teacher| An empty kitchen, including a refrigerator, sink, and cupboards.
Image 3367| Score: 0.8341 | Kept from Student| A group of young men riding skateboards on ramps.
Image 3368| Score: 1.7937 | Kept from Student| a dog on a lawn chair with a banana in its mouth
Image 3369| Score: 1.3396 | Kept from Student| A pretty young lady tossing a blue frisbee.
Image 3370| Score: 0.9778 | Kept from Student| A skateboarder riding his skateboard along a railing
